Project Epics,Epics,Rollup
Data Collection,"Load CSV into SQL Server (https://www.notion.so/Load-CSV-into-SQL-Server-3395ae01c0b1804d981ec6ce354e4c44?pvs=21), Verify table structure & row count (https://www.notion.so/Verify-table-structure-row-count-3395ae01c0b180c6bb9bc58d3cc3e504?pvs=21)",1
Data Cleaning,"Create staging table (https://www.notion.so/Create-staging-table-3395ae01c0b18016a634f8c1299c7a5b?pvs=21), Standardize text columns (https://www.notion.so/Standardize-text-columns-3395ae01c0b1808ebf26c4ceace9a782?pvs=21), Handle NULL and blank values (https://www.notion.so/Handle-NULL-and-blank-values-3395ae01c0b180bf9218e6f104214fb0?pvs=21), Remove Duplicate Values (https://www.notion.so/Remove-Duplicate-Values-3395ae01c0b180228f0fc3f5a58d3ccf?pvs=21)",1
Data Exploration,"Dataset Overview (https://www.notion.so/Dataset-Overview-3395ae01c0b1807ba9c2f7efc1c26b73?pvs=21), KPI Summary (https://www.notion.so/KPI-Summary-3395ae01c0b180c380b6dd563001a5ba?pvs=21), Time Analysis (https://www.notion.so/Time-Analysis-3395ae01c0b18065aafec2b57b7b708b?pvs=21), Industry & Stage Analysis (https://www.notion.so/Industry-Stage-Analysis-3395ae01c0b18018b441ed3a69887ede?pvs=21), Company Analysis (https://www.notion.so/Company-Analysis-3395ae01c0b1808c8d3dd6a899930a75?pvs=21), Geographic Analysis (https://www.notion.so/Geographic-Analysis-3395ae01c0b180659c89c77fc6ea67f6?pvs=21), Correlation Analysis (https://www.notion.so/Correlation-Analysis-3395ae01c0b1800ca074c22ac766f4a6?pvs=21)",0.5714285714285714
Data Analysis,"January 2023 peak (https://www.notion.so/January-2023-peak-3395ae01c0b180c1a2e5c2f681a5154c?pvs=21), Funding paradox (https://www.notion.so/Funding-paradox-3395ae01c0b1804eb85ed5cc5d8876d3?pvs=21), Riskiest stage (https://www.notion.so/Riskiest-stage-3395ae01c0b180b59e4efd0a2a0a41ec?pvs=21), Survival rate (https://www.notion.so/Survival-rate-3395ae01c0b18036b822eab2cd6080ab?pvs=21), Recommendations (https://www.notion.so/Recommendations-3395ae01c0b18051a43af4d38adb240d?pvs=21)",0
Data Visualization,Create Dashboard (https://www.notion.so/Create-Dashboard-3395ae01c0b1801c9d6aec02543a1ebc?pvs=21),0
